TICKERS,Name,Price,Market_Cap,Beta,Sector,Industry,P/E_Ratio,FWD_P/E_Ratio,PEG_Ratio,P/B_Ratio,P/S_Ratio_TTM,EV/EBITDA,Dividend_Yield,Payout_Ratio,Profit_Margin,Operating_Margin,EBITDA_Margin
CLBR,,,217394713.62495422,,,,,,,,,,,,,,
CLDT,Chatham Lodging Trust,8.29,420137520.589447,1.793,Real Estate,REIT—Hotel & Motel,,-75.545456,-4.81,0.5295795,1.3413992,10.084,0.0337,9.333301,-0.0001,0.16330999,0.28478
CLF,Cleveland-Cliffs Inc.,13.43,6185148671.417236,1.967,Basic Materials,Steel,147.77333,26.078432,1.95,0.87255615,0.29820618,6.129,,,0.00209,0.02121,0.07821
CLH,"Clean Harbors, Inc.",257.9152,13826430146.154785,1.201,Industrials,Waste Management,35.38483,28.893698,1.12,5.679552,2.4665396,16.109,,,0.06973,0.13878,0.18275
CLPR,Clipper Realty Inc.,6.383,274717656.80861473,1.314,Real Estate,REIT—Residential,,15.825,,,1.8945649,19.632,0.060599998,,-0.02542,0.26771,0.4705
CLS,Celestica Inc.,56.3499,6765781456.821442,2.231,Technology,Electronic Components,18.565361,13.906633,0.83,3.7307642,0.761868,11.452,,,0.04163,0.061,0.07197
CLVT,Clarivate Plc,6.625,4688812854.140533,1.176,Technology,Information Technology Services,,8.196202,-45.25,0.83656335,1.842074,9.241,,,-0.4653,0.10764,0.38142
CLW,Clearwater Paper Corporation,28.13,466111793.6553955,0.317,Basic Materials,Paper & Paper Products,10.551331,19.545456,35.22,0.70840174,0.22140358,6.929,,,0.021559998,-0.00682,0.10844
CLX,The Clorox Company,159.03,19633689760.665894,0.394,Consumer Defensive,Household & Personal Products,70.793335,22.428972,3.13,60.331314,2.7711759,19.865,0.0304,2.1333,0.03948,0.13873,0.16157
CM,Canadian Imperial Bank of Commerce,62.51,58908524446.55957,1.123,Financial Services,Banks—Diversified,12.45228,11.50647,3.56,1.0668025,2.60256,,0.0427,0.5166,0.29563,0.39846,
CMA,Comerica Incorporated,61.85,8206926583.488464,1.25,Financial Services,Banks—Regional,15.525,11.452119,-0.76,1.1852275,2.5892951,,0.0458,0.71,0.17748,0.30866,
CMBT,Cmb.Tech NV,16.11,3132719917.966614,-0.278,Energy,Oil & Gas Midstream,2.68386,9.923312,-0.89,2.5609562,3.009333,8.384,0.43310001,0.9884,1.15528,0.48598,0.59744
CMC,Commercial Metals Company,53.63,6438212057.685852,1.137,Basic Materials,Steel,12.975846,11.503212,-1.23,1.4261074,0.77844024,6.966,0.013099999,0.16430001,0.06125,0.07812,0.122880004
CMCM,Cheetah Mobile Inc.,4.405,130649305.34324646,1.484,Communication Services,Internet Content & Information,,25.277779,,0.059679963,0.19155405,-21.538,,,-0.74579,-0.41374,-0.32863
CMG,"Chipotle Mexican Grill, Inc.",60.015,81819577313.55762,1.255,Consumer Cyclical,Restaurants,59.059208,45.872925,2.56,22.041004,7.714795,39.478,,,0.13225001,0.19906001,0.20084
CMI,Cummins Inc.,332.14,45101004529.296875,0.976,Industrials,Specialty Industrial Machinery,23.549356,15.039252,2.07,4.7294197,1.3335645,11.845,0.0218,0.48099998,0.05689,0.1096,0.13007
CMP,"Compass Minerals International, Inc.",13.39,549739547.8837967,1.571,Basic Materials,Other Industrial Metals & Mining,,25.04717,5.5,1.5568862,0.36478224,5.262,0.045100003,1.6216,-0.12467,0.00992,0.1841
CMRE,Costamare Inc.,14.095,1680844373.5427856,1.369,Industrials,Marine Shipping,4.9542255,5.0501795,-0.19,0.6887456,0.89277375,5.565,0.0327,0.162,0.19601,0.24791999,0.31565002
CMS,CMS Energy Corporation,70.96,21145532792.698242,0.405,Utilities,Utilities—Regulated Electric,21.79448,19.79387,2.81,2.7287564,2.856601,14.076,0.028900001,0.615,0.13097,0.20162001,0.35579
CMTG,"Claros Mortgage Trust, Inc.",6.38,884442178.1959534,1.496,Real Estate,REIT—Mortgage,,12.959184,,0.40666795,24.878773,,0.0624,62.0,-2.7897298,-0.44377,
CMU,MFS High Yield Municipal Trust,3.63,92538866.91741943,0.585,Financial Services,Asset Management,20.167221,,,0.97217464,11.942311,,0.0435,0.7972,0.48931,0.85103,
CNA,CNA Financial Corporation,49.23,13260130312.042236,0.664,Financial Services,Insurance—Property & Casualty,10.460639,9.417624,3.37,1.3484008,0.96615046,7.83,0.0353,0.366,0.092709996,0.123900004,0.13262
CNC,Centene Corporation,61.01,32051009035.41162,0.48,Healthcare,Healthcare Plans,11.510358,8.3102045,0.81,1.1739874,0.22258711,4.715,,,0.0196,0.046630003,0.04358
CNF,CNFinance Holdings Limited,1.52,100815835.96215248,-0.023,Financial Services,Mortgage Finance,5.88,49.333336,,0.025008027,0.12851326,,,,0.14971,0.00169,
CNH,CNH Industrial N.V.,11.08,13685008302.89209,1.604,Industrials,Farm & Heavy Construction Machinery,7.107143,8.633859,-3.6,1.822189,0.599896,13.609,0.0428,0.3052,0.08738,0.109510005,0.12537
CNI,Canadian National Railway Company,111.8,70582014721.92969,0.649,Industrials,Railroads,18.280329,18.579866,5.06,3.6291766,4.14348,10.328,0.0223,0.3884,0.3202,0.40425,0.51843
CNK,"Cinemark Holdings, Inc.",28.62,3505077685.3027344,2.378,Communication Services,Entertainment,27.980583,15.296296,1.98,9.491636,1.2437099,12.862,,,0.05051,0.115229994,0.16664
CNM,"Core & Main, Inc.",45.92,9100388043.418945,1.027,Industrials,Industrial Distribution,21.71905,18.630611,2.94,5.340227,1.3203909,13.103,,,0.05579,0.103870004,0.12679
CNMD,CONMED Corporation,63.63,1966708918.5024261,1.464,Healthcare,Medical Devices,20.251593,12.963341,0.84,2.2261446,1.5384521,13.532,0.0125,0.2548,0.07727,0.11565,0.16826001
CNNE,"Cannae Holdings, Inc.",19.09,1232009705.1336288,0.877,Consumer Cyclical,Restaurants,,-26.027397,,0.62448645,2.436772,-10.932,0.0251,,-0.94996,-0.19492,-0.25264
CNO,"CNO Financial Group, Inc.",35.22,3726100901.5846252,1.027,Financial Services,Insurance—Life,9.163636,9.668493,1.06,1.5462198,0.8581665,6.591,0.0182,0.1584,0.09957,0.20146,0.25033
CNP,"CenterPoint Energy, Inc.",29.885,19499493087.80237,0.917,Utilities,Utilities—Regulated Electric,18.52469,17.364162,2.52,1.8624839,2.271172,11.782,0.0279,0.48770002,0.1228,0.24199,0.37528
CNQ,Canadian Natural Resources Limited,35.365,75913122127.55469,1.886,Energy,Oil & Gas E&P,13.941176,13.618773,-26.38,1.917956,2.0524127,5.111,0.044099998,0.569,0.20883,0.28250998,0.4609
CNS,"Cohen & Steers, Inc.",103.4,5487172639.549255,1.516,Financial Services,Asset Management,38.774254,28.98886,18.73,11.357634,10.50763,30.643,0.0225,0.8731,0.27225,0.33688,0.34789002
CNX,CNX Resources Corporation,35.48,5389730472.818359,1.385,Energy,Oil & Gas E&P,12.611307,18.910053,0.62,1.2734858,4.01828,6.165,,,0.39189997,0.06731,0.94833
CODI,Compass Diversified,21.11,1603450560.192749,1.649,Industrials,Conglomerates,,8.823346,1.48,1.7632304,0.7407466,11.06,0.0468,4.0462,0.049239997,0.1149,0.16954
COF,Capital One Financial Corporation,156.595,59675499641.60156,1.446,Financial Services,Credit Services,14.722484,9.996166,-12.71,1.1231962,2.2969706,,0.0153,0.2258,0.16789,0.11971,
COHR,Coherent Corp.,97.73,14962830478.942871,1.655,Technology,Scientific & Technical Instruments,,22.548836,0.77,2.8449943,3.194306,31.075,,,-0.03317,0.036760002,0.14507
COLD,"Americold Realty Trust, Inc.",26.22,7410788458.320618,0.61,Real Estate,REIT—Industrial,,59.21591,70.45,2.1438577,2.7859187,19.325,0.0336,7.6364,-0.106000006,0.08156,0.21278
COMP,"Compass, Inc.",5.8,2803432477.4783936,2.93,Real Estate,Real Estate Services,,572.0,0.27,7.2264147,0.56023854,-34.806,,,-0.04535,0.01582,-0.01767
CON,"Concentra Group Holdings Parent, Inc.",21.195,2629990350.0,,Healthcare,Medical Care Facilities,20.367647,16.38189,,1.7370794,1.4372869,9.679,,,0.09764,0.17565,0.19488001
COOK,"Traeger, Inc.",3.02,392929321.1121559,1.231,Consumer Cyclical,"Furnishings, Fixtures & Appliances",,18.875,6.34,1.3133738,0.65757024,21.311,,,-0.085039996,0.02846,0.06625
COP,ConocoPhillips,105.09,122616388315.69531,1.223,Energy,Oil & Gas E&P,11.74666,12.646882,2.62,2.4631743,2.1011667,5.366,0.0297,0.36189997,0.18396999,0.27006,0.43077
COR,"Cencora, Inc.",234.42,45983477996.33789,0.437,Healthcare,Medical Distribution,25.416035,15.91384,1.72,49.79344,0.16210686,12.291,0.0086,0.2185,0.00654,0.00949,0.01421
COTY,Coty Inc.,7.475,6534872971.8411255,1.892,Consumer Defensive,Household & Personal Products,83.44444,11.561539,0.63,1.6995466,1.0617554,10.79,,,0.01461,0.031689998,0.16412
COUR,"Coursera, Inc.",7.61,1189423268.0282593,1.429,Consumer Defensive,Education & Training Services,,26.732143,0.14,2.0029473,1.7616881,-4.201,,,-0.14347,-0.18295999,-0.17231001
CP,Canadian Pacific Kansas City Limited,79.57,73872170626.12207,0.786,Industrials,Railroads,29.188887,21.666208,4.11,1.6772658,5.217954,13.167,0.0070999996,0.2038,0.24463,0.38384998,0.51475
CPA,"Copa Holdings, S.A.",99.37,4144088753.351593,1.479,Industrials,Airlines,6.0961423,5.967645,1.72,1.8545934,1.178338,4.82,0.0645,0.2976,0.19218999,0.19466,0.2978
CPAC,Cementos Pacasmayo S.A.A.,5.76,494230081.5322876,0.253,Basic Materials,Building Materials,11.431373,44.846153,1.16,1.9557196,0.25057158,7.469,0.092700005,1.0509,0.085760005,0.17591,0.26943
CPAY,"Corpay, Inc.",349.04,24062700310.48584,1.224,Technology,Software—Infrastructure,25.137157,15.731415,1.41,8.749432,6.353677,14.819,,,0.26413,0.44412997,0.53371
CPF,Central Pacific Financial Corp.,28.83,780378881.2225342,1.112,Financial Services,Banks—Regional,13.784689,11.43254,1.69,1.5022961,3.2733185,,0.0366,0.4976,0.23849002,0.33423,
CPK,Chesapeake Utilities Corporation,120.485,2691967591.2139893,0.616,Utilities,Utilities—Regulated Gas,25.623932,19.306091,2.97,2.085702,3.710912,14.647,0.0212,0.515,0.13606,0.25392,0.38514
CPNG,"Coupang, Inc.",24.79,44779719974.816895,1.113,Consumer Cyclical,Internet Retail,42.905174,48.705883,1795.0,11.520427,1.6358554,65.757,,,0.0387,-0.00082,0.02417
CPRI,Capri Holdings Limited,41.91,4945371236.8927,1.973,Consumer Cyclical,Luxury Goods,,14.719299,6.33,3.1310606,0.9890231,16.707,,,-0.05811,-0.00656,0.09824
CPS,Cooper-Standard Holdings Inc.,14.08,241598651.69668198,2.723,Consumer Cyclical,Auto Parts,,16.47619,0.45,,0.08751459,7.028,,,-0.054279998,0.041810002,0.06811
CPT,Camden Property Trust,119.37,12686898962.287903,0.915,Real Estate,REIT—Residential,32.612328,73.03681,-3.07,2.6670842,8.159517,17.906,0.0349,1.1123,0.2548,0.19955,0.57784003
CQP,"Cheniere Energy Partners, L.P.",48.695,23074376593.688965,0.667,Energy,Oil & Gas Midstream,10.081395,11.27305,-1.47,16.86067,2.6194184,8.294,0.0767,0.82559997,0.32756,0.40444002,0.48939
CR,Crane Company,149.84,8724826579.846191,1.367,Industrials,Specialty Industrial Machinery,36.477444,25.891638,2.35,5.865078,3.8844354,23.094,0.0052,0.1855,0.109069996,0.16621,0.18090001
CRBG,"Corebridge Financial, Inc.",31.315,18503397573.242065,0.826,Financial Services,Asset Management,9.666667,5.665461,0.43,1.7077034,1.0043726,14.179,0.0292,0.284,0.11051,0.08862001,0.09786
CRC,California Resources Corporation,53.13,4679489772.609711,1.423,Energy,Oil & Gas E&P,23.039473,13.62274,-1.39,1.747213,2.0995202,16.043,0.0307,0.53180003,0.0726,0.09823,0.100039996
CRD.A,,,,,,,,,,,,,,,,,
CRF,"Cornerstone Total Return Fund, Inc.",8.435,949806994.8244095,1.124,Financial Services,Asset Management,6.222222,,,1.238202,63.990807,,0.1478,0.9721,9.96348,0.61722,
CRGY,Crescent Energy Company,12.375,2893056255.678177,1.137,Energy,Oil & Gas Integrated,,9.876984,-1.88,0.6545866,1.0879104,3.892,0.039,1.3395,0.0061500003,0.17232001,0.44026002
CRH,CRH plc,92.325,62294244469.01367,1.383,Basic Materials,Building Materials,19.10104,15.236711,1.32,3.0254958,1.7938162,11.88,0.0152,0.42290002,0.09771,0.17941,0.18103
CRI,"Carter's, Inc.",66.455,2431382874.080658,1.232,Consumer Cyclical,Apparel Retail,10.418605,13.30693,-11.1,2.997542,0.8356415,8.166,0.0476,0.4806,0.08288,0.0699,0.13533
CRK,"Comstock Resources, Inc.",11.315,3347849641.062256,0.475,Energy,Oil & Gas E&P,,22.37255,-1.77,1.4328,2.4224908,8.834,,1.7045,-0.01426,-0.37472,0.51929003
CRL,"Charles River Laboratories International, Inc.",186.58,9768528282.435608,1.364,Healthcare,Diagnostics & Research,22.616367,18.108133,4.24,2.6247783,2.3678877,13.33,,,0.10827,0.16597,0.23517
CRM,"Salesforce, Inc.",288.685,276851667387.5156,1.3,Technology,Software—Application,50.19512,25.940596,1.78,4.786154,7.5633187,29.751,0.0055,0.13939999,0.15445,0.20181999,0.25627002
CRS,Carpenter Technology Corporation,157.59,7803547692.985535,1.452,Industrials,Metal Fabrication,42.36892,19.65539,0.82,4.7957034,2.8534706,18.479,0.005,0.21620001,0.06758,0.15201999,0.16596001
CRT,Cross Timbers Royalty Trust,11.1431,69016856.4427185,0.536,Energy,Oil & Gas E&P,8.9296875,,,27.089176,7.6878676,,0.100200005,1.0,0.88671,0.85172,
CSAN,Cosan S.A.,8.115,3835972198.992737,1.028,Energy,Oil & Gas Refining & Marketing,8.166667,31.096155,-123.61,0.7599305,0.09564716,7.602,0.0423,0.3405,0.065,0.28570998,0.29783002
CSL,Carlisle Companies Incorporated,461.935,21289306527.79541,0.904,Industrials,Building Products & Equipment,26.035694,19.851723,1.52,7.0938325,4.3219643,16.856,0.0085,0.1926,0.27882,0.25672,0.26623
CSR,Centerspace,70.12,1127838037.9219055,0.911,Real Estate,REIT—Residential,,-148.57448,-12.42,1.7893887,4.383325,18.112,0.0429,1.2586,-0.01915,0.11841,0.49527
CSTM,Constellium SE,14.925,2126707634.420395,1.934,Basic Materials,Aluminum,12.564103,6.6126127,-2.91,2.260716,0.31635165,6.328,,,0.02347,0.07354,0.086890005
CSV,"Carriage Services, Inc.",32.0,483633468.39675903,0.939,Consumer Cyclical,Personal Services,16.931217,12.54902,0.92,2.5853539,1.232618,10.399,0.0139999995,0.23809999,0.0747,0.17975001,0.25959
CTLT,"Catalent, Inc.",59.715,10907801150.756836,1.155,Healthcare,Drug Manufacturers—Specialty & Generic,,31.804234,1.61,3.017276,2.475507,31.555,,,-0.23807,0.09147,0.11299
CTO,"CTO Realty Growth, Inc.",19.28,582645976.0065079,0.601,Real Estate,REIT—Diversified,39.591835,-215.5,,0.9118684,5.0196357,12.815,0.078099996,3.1020002,0.14522,0.1906,0.61764
CTOS,"Custom Truck One Source, Inc.",3.32,775581545.729538,0.627,Industrials,Rental & Leasing Services,,107.32334,-1.25,0.8966186,0.4373479,16.383,,,-0.0075499997,0.0556,0.109239995
CTRA,Coterra Energy Inc.,23.59,17568845778.54297,0.198,Energy,Oil & Gas E&P,13.728324,9.617409,0.95,1.3505992,3.1424124,5.52,0.0353,0.474,0.23558001,0.23887,0.62659
CTRE,"CareTrust REIT, Inc.",30.42,4691037548.405212,1.127,Real Estate,REIT—Healthcare Facilities,51.5678,23.765625,1.09,2.4075687,18.913916,23.051,0.0382,1.9322,0.30091,0.67736,0.85107005
CTRI,"Centuri Holdings, Inc.",18.71,1635803433.3999023,,Utilities,Utilities—Regulated Gas,,26.428572,1.74,3.0924566,0.6319561,12.24,,,-0.07872,0.04932,0.08692
CTS,CTS Corporation,47.36,1430348021.5999603,0.573,Technology,Electronic Components,26.387642,19.65272,1.94,2.7300239,2.784775,13.24,0.0034,0.089899994,0.10699,0.1452,0.19993
CTV,Innovid Corp.,1.81,266460762.23935318,3.114,Communication Services,Advertising Agencies,,180.0,,1.3811728,1.7671837,120.112,,,-0.14152999,-0.07359,0.01385
CTVA,"Corteva, Inc.",59.145,40560134162.89526,0.774,Basic Materials,Agricultural Inputs,46.56373,17.735651,1.74,1.6184127,2.4210827,13.697,0.0115,0.5079,0.05313,0.25736,0.19017
CUBE,CubeSmart,48.63,10958183694.917358,0.839,Real Estate,REIT—Industrial,27.300564,27.286516,1.03,3.9484596,10.321723,19.962,0.0421,1.1348001,0.37921003,0.4421,0.65512
CUBI,"Customers Bancorp, Inc.",45.35,1429561711.6333008,1.62,Financial Services,Banks—Regional,6.055182,6.368608,0.77,0.8814036,1.9837818,,,,0.35526,0.48376998,
CUK,Carnival Corporation & plc,19.56,24335552764.801758,2.697,Consumer Cyclical,Leisure,16.649572,11.607143,1.13,2.8666177,1.0033308,9.193,,,0.063930005,0.27609,0.24012
CULP,"Culp, Inc.",5.6899,72738732.8154087,1.195,Consumer Cyclical,Textile Manufacturing,,18.596773,-0.8,0.99749225,0.31556854,-12.415,,,-0.07876,-0.074640006,-0.02348
CURB,Curbline Properties Corp.,22.935,2408109900.0,,,,76.58333,52.5,,,,,,,,,
CURV,Torrid Holdings Inc.,3.695,394580779.58106995,1.955,Consumer Cyclical,Apparel Retail,31.666666,13.535714,0.37,,0.3389717,9.237,,,0.01207,0.07172,0.08004
CUZ,Cousins Properties Incorporated,31.02,4734439656.829834,1.293,Real Estate,REIT—Office,79.38461,140.81818,,1.0569466,5.741655,14.547,0.040999997,3.2821,0.07231,0.17951,0.62109
CVE,Cenovus Energy Inc.,16.9733,31513314406.62207,2.635,Energy,Oil & Gas Integrated,9.302197,9.794797,0.83,1.0676738,0.565137,3.441,0.0276,0.2928,0.08542,0.0956,0.20128
CVEO,Civeo Corporation,27.9995,398076710.9642029,2.043,Consumer Cyclical,Lodging,11.770213,47.60345,-4.67,1.340874,0.566164,4.676,0.036199998,0.4255,0.04955,0.07577,0.13508001
CVI,"CVR Energy, Inc.",24.54,2447929888.349533,1.489,Energy,Oil & Gas Refining & Marketing,4.4797797,26.796703,-2.37,2.8918889,0.28797024,3.585,0.0825,0.3676,0.06395,0.013730001,0.12007
CVLG,"Covenant Logistics Group, Inc.",53.03,681462388.1069183,1.34,Industrials,Trucking,17.18212,10.386454,2.66,1.6463051,0.61866593,7.072,0.0085,0.1457,0.03762,0.05709,0.12534
CVNA,Carvana Co.,195.77,62401767493.13965,3.444,Consumer Cyclical,Auto & Truck Dealerships,78.37952,162.275,5.22,44.87802,1.9683942,38.95,,,0.061189998,0.07625,0.06282
CVS,CVS Health Corporation,56.93,72176604336.0,0.532,Healthcare,Healthcare Plans,10.204626,7.8399725,-10.64,0.959888,0.19772455,8.753,0.045700002,0.45200002,0.01987,0.03031,0.04449
CVX,Chevron Corporation,150.93,273691518441.42188,1.079,Energy,Oil & Gas Integrated,14.964321,13.027611,35.45,1.7352177,1.4044595,7.223,0.0432,0.6218,0.09593,0.11894,0.21011
CW,Curtiss-Wright Corporation,353.47,13701766258.5083,1.185,Industrials,Aerospace & Defense,35.137257,31.08413,3.14,5.584836,4.5022197,22.083,0.0023,0.0794,0.13053,0.17777,0.22195
CWAN,"Clearwater Analytics Holdings, Inc.",26.99,6898751619.555542,0.611,Technology,Software—Application,,52.134617,3.16,15.5517235,16.47687,220.797,,,-0.01204,0.036,0.064959995
CWEN,"Clearway Energy, Inc.",26.82,5210251680.160522,0.945,Utilities,Utilities—Renewable,34.86842,,,1.4464413,4.229148,15.78,0.0625,2.1039,0.07206,0.2377,0.72378
CWH,"Camping World Holdings, Inc.",21.349,972532070.5692291,2.494,Consumer Cyclical,Auto & Truck Dealerships,,18.921053,-1.84,9.164892,0.16056192,17.527,0.0235,2.7273002,-0.0022200001,0.059910003,0.04612
CWK,Cushman & Wakefield plc,12.815,2949301197.528839,1.309,Real Estate,Real Estate Services,161.375,10.845966,1.52,1.8074396,0.31527045,13.018,,,0.00221,0.03837,0.04824
CWT,California Water Service Group,52.715,3113024184.288025,0.487,Utilities,Utilities—Regulated Water,17.432566,22.377638,1.47,2.0167189,3.1445808,12.016,0.021,0.35529998,0.17778,0.25048,0.37201
CX,"CEMEX, S.A.B. de C.V.",5.865,8656269245.760132,1.072,Basic Materials,Building Materials,44.807693,7.6644735,0.58,7.164821,0.49543434,29.412,0.014099999,0.1554,0.00968,0.14818,0.17983
CXE,MFS High Income Municipal Trust,3.9,125046637.06440926,0.654,Financial Services,Asset Management,21.672777,,,0.9540474,12.186796,,0.044899996,0.9,0.57443,0.85098,
CXH,MFS Investment Grade Municipal Trust,8.16,67233602.4361229,0.589,Financial Services,Asset Management,31.538462,,,0.96926713,12.453547,,0.0363,1.0769,0.29473,0.84279,
CXM,"Sprinklr, Inc.",7.185,1816098210.3309631,0.762,Technology,Software—Application,41.97059,17.011906,0.73,3.8654783,2.3538482,32.712,,,0.06538,-0.00044,0.056220002
CXT,"Crane NXT, Co.",55.665,3195958173.4657288,,Industrials,Specialty Industrial Machinery,17.612698,12.007592,1.85,3.189506,2.282406,11.564,0.0113,0.19049999,0.1297,0.1843,0.24440001
CXW,"CoreCivic, Inc.",13.68,1528326126.2512207,0.896,Industrials,Security & Protection Services,22.883331,29.276596,5.67,1.0482212,0.7679578,7.696,,,0.03503,0.09859,0.16525999
CYD,China Yuchai International Limited,12.09,488256677.20689774,1.016,Consumer Cyclical,Auto Manufacturers,10.007,9.128788,6.31,0.053361557,0.025667423,,0.0315,0.2343,0.01811,0.04239,0.055570003
CYH,"Community Health Systems, Inc.",5.605,784469869.2741394,1.555,Healthcare,Medical Care Facilities,,25.431818,1.88,,0.06107733,9.949,,,-0.00789,0.07898,0.10792
D,"Dominion Energy, Inc.",60.045,49874863788.85889,0.603,Utilities,Utilities—Regulated Electric,24.88329,17.674557,1.06,1.9499706,3.4782686,13.397,0.044499997,1.1125,0.11589,0.24986,0.48465002
DAC,Danaos Corporation,85.35,1658304855.6152344,1.47,Industrials,Marine Shipping,2.9151905,3.107195,0.97,0.50477266,1.6724812,2.598,0.0375,0.1073,0.58154,0.53953,0.68088996
DAL,"Delta Air Lines, Inc.",54.84,35116192144.53516,1.358,Industrials,Airlines,7.5582523,7.8636365,1.08,2.5609584,0.58897793,6.754,0.0109,0.0624,0.07712,0.08452,0.13954
DAN,Dana Incorporated,10.3525,1499062119.4017334,2.277,Consumer Cyclical,Auto Parts,,7.4136696,0.27,1.0138588,0.14107859,5.556,0.038,4.4444,-8.9999994e-05,0.042729996,0.07277
DAO,"Youdao, Inc.",4.885,604402682.3148727,-0.031,Consumer Defensive,Education & Training Services,,29.264706,,,0.1017381,-2795.162,,,-0.02328,-0.05489,-0.000120000004
DAR,Darling Ingredients Inc.,38.525,6285463425.598145,1.239,Consumer Defensive,Packaged Foods,16.80131,11.269006,1.7,1.3781674,1.0063052,11.673,,,0.06044,0.04954,0.14930001
DAVA,Endava plc,25.54,1531704742.306137,1.214,Technology,Software—Infrastructure,67.18421,12.309179,4028.44,2.351638,2.0408802,28.432,,,0.02311,0.07915,0.080419995
DAY,Dayforce Inc,65.435,10222746578.979492,1.293,Technology,Software—Application,216.23334,30.74408,1.56,4.1854386,6.3424063,45.466,,,0.028859999,0.0274,0.14847
DB,Deutsche Bank Aktiengesellschaft,17.635,34209175192.966553,1.113,Financial Services,Banks—Regional,9.85955,6.0795846,-5.38,0.46468598,1.2510419,,0.027999999,0.2744,0.14555,0.05132,
DBD,"Diebold Nixdorf, Incorporated",45.07,1673032978.7677765,,Technology,Software—Application,,7.694683,2.89,1.6908523,0.44328174,6.368,,,0.56735003,0.08258,0.103240006
DBI,Designer Brands Inc.,5.855,317734632.2071552,2.019,Consumer Cyclical,Footwear & Accessories,,7.72,0.82,0.9021383,0.106493495,17.66,0.034,0.6667,-0.00162,0.03371,0.02901
DBRG,"DigitalBridge Group, Inc.",16.13,3024390986.233429,1.983,Real Estate,Real Estate Services,6.1030536,25.758064,,2.3620539,2.81385,27.819,0.0025,0.0153,0.4262,0.32463002,0.14062001
DCI,"Donaldson Company, Inc.",74.175,9022791843.223572,1.047,Industrials,Specialty Industrial Machinery,21.951183,18.611528,2.06,5.985643,2.476566,14.457,0.014400001,0.3018,0.115439996,0.16195999,0.18055001
DCO,Ducommun Incorporated,62.57,920089998.7323761,1.384,Industrials,Aerospace & Defense,40.82987,15.6342,1.29,1.406048,1.1880963,13.538,,,0.02949,0.088369995,0.11346
DD,"DuPont de Nemours, Inc.",84.67,35232403470.30127,1.326,Basic Materials,Specialty Chemicals,108.25642,19.48387,2.15,1.511942,2.930567,14.546,0.0179,1.8974,0.055069998,0.14948,0.24001
DDD,3D Systems Corporation,2.945,395392388.7887001,1.669,Technology,Computer Hardware,,-19.633331,-0.22,1.0304408,0.8678862,-7.31,,,-0.76436996,-0.23676,-0.14874
DDL,Dingdong (Cayman) Limited,3.36,692589062.2019768,0.366,Consumer Defensive,Grocery Stores,,14.347826,45.91,1.345365,0.03505615,0.073,,,0.0037099998,0.00957,0.00883
DDS,"Dillard's, Inc.",387.62,6341724426.248169,0.874,Consumer Cyclical,Department Stores,9.643386,14.954476,-0.74,3.2403018,0.92465067,5.983,0.0025,0.0247,0.09782,0.06151,0.14497
DE,Deere & Company,406.925,110493061083.98438,0.932,Industrials,Farm & Heavy Construction Machinery,13.829011,18.189154,-1.35,4.8142743,1.9896545,11.996,0.014400001,0.1965,0.14698,0.19016,0.25671
DEA,"Easterly Government Properties, Inc.",13.97,1445763654.1404724,0.7,Real Estate,REIT—Office,73.210526,58.0,,1.0974821,4.82636,17.474,0.0753,5.5789003,0.06368,0.25792998,0.55538
DEC,Diversified Energy Company PLC,11.74,577696924.5986938,0.192,Energy,Oil & Gas E&P,4.2769785,13.534091,,1.0417031,0.8182763,4.562,0.0999,1.0486,0.20457001,-0.0225,0.70526004
DECK,Deckers Outdoor Corporation,154.135,23799476479.36035,1.052,Consumer Cyclical,Footwear & Accessories,29.80115,25.656199,2.64,11.424475,5.314347,21.883,,,0.18291001,0.16091,0.23912
DEI,"Douglas Emmett, Inc.",18.555,3746331239.1586304,1.128,Real Estate,REIT—Office,,-77.145836,106.8,1.4317213,3.7911286,17.073,0.040799998,6.3333,-0.03509,0.23018,0.57825
DELL,Dell Technologies Inc.,120.82,86223727503.66211,0.959,Technology,Computer Hardware,22.151031,12.81258,1.3,,0.9292911,12.501,0.014199999,0.30020002,0.04325,0.06673,0.095010005
DEO,Diageo plc,136.375,76255386941.31055,0.359,Consumer Defensive,Beverages—Wineries & Distilleries,19.732996,18.992342,5.95,30.190348,3.7615747,50.403,0.030199999,0.5806,0.19093001,0.27281,0.32054
DFH,"Dream Finders Homes, Inc.",31.405,2976251408.1348877,1.895,Consumer Cyclical,Residential Construction,10.397869,9.618182,-1.93,2.8165774,0.74775535,9.8,,,0.080019996,0.100880004,0.111420006
DFIN,"Donnelley Financial Solutions, Inc.",65.025,1858144000.0,1.357,Technology,Software—Application,18.3553,15.225653,1.64,4.232138,2.3574796,12.115,,,0.1322,0.27194,0.21044001
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,20.76,425703486.55319214,,Financial Services,Asset Management,5.9214287,,,,,,0.1041,,,,
DFS,Discover Financial Services,146.09,36556084732.421875,1.41,Financial Services,Credit Services,11.727859,11.471654,-1.48,2.1160474,3.1314178,,0.0191,0.22540002,0.27306,0.34264,
DG,Dollar General Corporation,80.515,17711954945.658203,0.445,Consumer Defensive,Discount Stores,12.505445,12.786169,-6.71,2.4332101,0.44623756,11.513,0.0291,0.367,0.03568,0.05386,0.07625
